ProdSalesCode,ProductNumber,Productdescr,SalesDistCode,SalesDistrict,cust_segment,Last record date,yr,month,forecast_date,lag,qty_kg,frcst_qty,acc,model
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,4,2022-04-01,1,38782.8,39480.534597991165,98.200917422179,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,5,2022-05-01,2,37762.2,42262.102512162455,88.08357957914936,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,6,2022-06-01,3,0.0,45043.67042633374,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,7,2022-07-01,4,0.0,47825.23834050502,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,8,2022-08-01,5,0.0,50606.80625467631,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,9,2022-09-01,6,0.0,53388.37416884759,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,10,2022-10-01,7,0.0,56169.942083018876,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,11,2022-11-01,8,0.0,58951.509997190165,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2022,12,2022-12-01,9,0.0,61733.077911361455,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,1,2023-01-01,10,0.0,64514.64582553274,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,2,2023-02-01,11,0.0,67296.21373970402,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,3,2023-03-01,12,0.0,70077.78165387531,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,4,2023-04-01,13,0.0,72859.3495680466,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,5,2023-05-01,14,0.0,75640.91748221788,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,6,2023-06-01,15,0.0,78422.48539638917,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,7,2023-07-01,16,0.0,81204.05331056044,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,8,2023-08-01,17,0.0,83985.62122473173,0.0,HW
03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0,Regional Account,GROUP_2,2022-03-01,2023,9,2023-09-01,18,0.0,86767.18913890302,0.0,HW
