ProdSalesCode,p,d,q,P,D,Q,M
03401044CA_0000,1,1,1,2,1,1,9
03401044CA_1015,1,1,1,2,0,1,9
03401044CA_1034,1,0,1,2,1,1,3
03401044CA_1047,1,0,1,1,0,1,0
03401044CA_1099,3,0,2,3,0,3,9
03401044CA_1116,3,1,2,3,0,2,3
03401044CA_1216,2,1,3,3,1,1,12
03401044CA_1230,1,0,2,1,1,3,6
03401044CA_1259,2,0,1,2,1,3,6
03401044CA_1274,2,0,1,3,1,1,12
03401044CA_1693,1,0,1,1,1,2,12
03401044CA_1707,2,0,3,3,0,1,9
03401044CA_2059,3,0,3,1,1,2,12
03401044CA_2062,2,0,3,1,1,2,6
03401044CA_2065,3,0,3,3,0,3,3
03401044CA_2107,3,0,3,1,0,3,6
03401044CA_2137,2,0,1,2,0,3,6
03401044CA_2217,1,0,2,1,0,2,3
03401044CA_2246,1,1,2,3,0,3,9
03401044CA_2378,2,1,1,2,0,2,3
03401044CA_2423,2,1,3,2,1,2,12
03401044CA_3973,2,1,3,2,1,1,9
03401044CA_8135,2,0,1,1,0,1,3
03401044CA_8136,3,0,1,3,1,1,3
03401044CA_8145,2,0,3,3,0,1,12
03401048CA_0000,3,0,1,1,0,3,0
03401048CA_1005,1,0,1,1,0,1,6
03401048CA_1015,1,0,1,3,0,1,6
03401048CA_1019,3,1,2,3,1,1,12
03401048CA_1034,3,0,2,3,0,2,9
03401048CA_1038,1,0,1,2,0,2,6
03401048CA_1080,2,0,3,3,1,1,6
03401048CA_1099,3,0,3,2,1,3,3
03401048CA_1193,3,0,2,2,1,2,12
03401048CA_1213,3,1,2,2,1,1,6
03401048CA_1216,3,0,2,3,0,2,9
03401048CA_1224,3,0,3,1,0,2,12
03401048CA_1230,1,1,2,2,1,2,9
03401048CA_1238,3,0,2,1,1,2,6
03401048CA_1252,3,1,1,3,1,1,6
03401048CA_1259,1,1,2,2,0,1,0
03401048CA_1274,3,1,3,2,1,3,6
03401048CA_1289,3,0,3,3,1,1,12
03401048CA_1603,3,1,3,2,1,1,9
03401048CA_1707,3,0,3,2,0,2,6
03401048CA_1826,3,0,3,3,0,3,3
03401048CA_2002,2,0,2,1,0,3,9
03401048CA_2014,3,0,1,1,0,3,3
03401048CA_2059,3,0,1,2,1,3,6
03401048CA_2062,1,0,3,3,1,1,12
03401048CA_2065,2,1,1,3,1,3,3
03401048CA_2107,1,0,1,2,0,3,9
03401048CA_2137,3,1,1,1,0,1,6
03401048CA_2163,2,1,1,3,1,3,3
03401048CA_2224,2,0,3,2,1,2,12
03401048CA_2245,2,1,1,2,1,1,12
03401048CA_2260,1,1,2,3,0,3,9
03401048CA_2261,1,1,3,3,1,2,9
03401048CA_2263,3,1,2,3,0,3,9
03401048CA_2270,2,0,3,3,1,1,3
03401048CA_2308,1,0,3,2,0,3,9
03401048CA_2337,1,0,1,2,0,1,12
03401048CA_2378,1,0,3,3,1,2,9
03401048CA_3970,2,0,1,3,0,3,3
03401048CA_3973,2,1,3,3,0,3,9
03401048CA_3993,1,1,2,2,1,2,3
03401048CA_7297,3,1,2,1,0,2,9
03401048CA_8136,2,1,3,3,0,1,9
03401048CA_8175,3,1,3,1,0,2,6
03401048CA_8200,3,0,3,3,1,1,12
03411011CA_0000,3,0,3,2,1,2,9
03411011CA_1026,1,1,2,1,1,1,6
03411011CA_1034,1,0,2,3,1,2,9
03411011CA_1213,2,0,3,2,0,2,9
03411011CA_1259,1,1,1,1,1,3,3
03411011CA_1274,1,1,3,2,0,2,12
03411011CA_1603,2,0,2,3,1,3,6
03411011CA_2065,3,1,1,3,1,2,12
03411011CA_2107,2,1,1,3,0,2,3
