,ProdSalesCode,ProductNumber,Productdescr,SalesDistCode,SalesDistrict,Cust_Segment,Last_Record_Date,Year,Month,Forecast_Date,Lag,Hist_Qty,Fcst_Qty,MAPE,Accuracy,Model
0,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,2,2022-02-01,1,58174.2,32685.983621273936,0.4381360874533051,0.5618639125466949,SARIMA
1,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,3,2022-03-01,2,19391.4,20630.012000437528,0.06387429481303702,0.9361257051869629,SARIMA
2,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,4,2022-04-01,3,38782.8,28141.061330532284,0.27439325343883675,0.7256067465611633,SARIMA
3,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,5,2022-05-01,4,0.0,32350.8879390519,1.0,0.0,SARIMA
4,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,6,2022-06-01,5,0.0,29308.14995972677,1.0,0.0,SARIMA
5,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,7,2022-07-01,6,0.0,24455.067966631977,1.0,0.0,SARIMA
6,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,8,2022-08-01,7,0.0,35731.545523867986,1.0,0.0,SARIMA
7,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,9,2022-09-01,8,0.0,26443.2210416335,1.0,0.0,SARIMA
8,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,10,2022-10-01,9,0.0,28116.533067980512,1.0,0.0,SARIMA
9,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,11,2022-11-01,10,0.0,27006.966485141817,1.0,0.0,SARIMA
10,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2022,12,2022-12-01,11,0.0,28789.74458744967,1.0,0.0,SARIMA
11,03401044CA_0000,03401044CA,"MELOJEL® (TrueTrace®, IP) 50 LB",0000,Regional Account,GROUP_2,2022-01-01,2023,1,2023-01-01,12,0.0,30500.29302454457,1.0,0.0,SARIMA
